"File name";Size;Creator;Date;Name;Description;Path
dinbrief.pdf;475503;"Alexander Richter";"2015-11-02 23:03:37";"Dinbrief Doku";;/dinbrief.pdf
KOMA-scrguide.pdf;2663858;"Alexander Richter";"2015-11-02 23:03:59";"KOMA Script doku";;/KOMA-scrguide.pdf
